date,PE,return
2012-06-03,10.85,0.02327734257042957
2012-06-10,10.47,-0.04127196450585968
2012-06-17,10.56,0.01732143472582215
2012-06-24,10.37,-0.021755383648474624
2012-07-01,10.2,-0.020131081110666416
2012-07-08,10.36,0.004469428975809375
2012-07-15,10.21,-0.00888978223046566
2012-07-22,10.1,-0.021291641792140714
2012-07-29,9.92,-0.020574494831047452
2012-08-05,10.0,0.0019705351988925646
2012-08-12,10.11,0.019549337925180543
2012-08-19,9.85,-0.03595164665000661
2012-08-26,9.73,-0.016338617733661187
2012-09-02,9.47,-0.03111557571658885
2012-09-09,9.8,0.050937743211838526
2012-09-16,9.78,-0.0007064624700983124
2012-09-23,9.35,-0.05030312557491923
2012-09-30,9.68,0.042765032197804365
2012-10-07,,0.0
2012-10-14,9.76,0.00498232528282605
2012-10-21,9.84,0.012123507993600402
2012-10-28,9.51,-0.036254699953268354
2012-11-04,9.68,0.02618747127883836
2012-11-11,9.49,-0.028546359548009437
2012-11-18,9.26,-0.02841863445614412
2012-11-25,9.3,0.007089709907957209
2012-12-02,9.17,-0.02417821876100268
2012-12-09,9.53,0.050052788736159703
2012-12-16,9.96,0.04856243910667701
2012-12-23,9.95,0.0068497133749176875
2012-12-30,10.31,0.04555097339715575
2013-01-06,10.58,0.01788674336676399
2013-01-13,10.41,-0.016312332906434968
2013-01-20,10.7,0.04518671246723027
2013-01-27,10.64,-0.009156447136688839
2013-02-03,11.29,0.06674640720402358
2013-02-10,11.29,0.010352769122422334
2013-02-17,,0.0
2013-02-24,10.66,-0.06318123190431968
2013-03-03,10.86,0.027817872883196815
2013-03-10,10.62,-0.023197004237052843
2013-03-17,10.5,-0.025721472062700812
2013-03-24,10.7,0.03088146533310887
2013-03-31,10.1,-0.04706283599943173
2013-04-07,10.11,-0.0046234934869902045
2013-04-14,10.02,-0.0086308010277234
2013-04-21,10.21,0.029127432058330127
2013-04-28,9.75,-0.03414637226614137
2013-05-05,9.75,0.018635184974825192
2013-05-12,9.91,0.01922410418017173
2013-05-19,10.05,0.020155570843612303
2013-05-26,10.02,0.001998419782349714
2013-06-02,10.05,0.0035414680574827884
2013-06-09,9.69,-0.046909446115101505
2013-06-16,9.47,-0.027127479711451685
2013-06-23,9.01,-0.041119742002862725
2013-06-30,8.68,-0.05038202394586322
2013-07-07,8.89,0.011910176998590094
2013-07-14,9.03,0.021790431232652008
2013-07-21,8.79,-0.03731036625643325
2013-07-28,8.83,0.015307161267997582
2013-08-04,8.9,0.010456347279326428
2013-08-11,8.98,0.01724186265692973
2013-08-18,9.05,0.007932598720040485
2013-08-25,8.86,-0.007471321236867001
2013-09-01,8.76,0.011797917644142064
2013-09-08,8.89,0.01896011512980178
2013-09-15,9.33,0.055611587500455695
2013-09-22,9.11,-0.022657380644155678
2013-09-29,8.98,-0.015432207884037763
2013-10-06,9.02,0.005873140008793243
2013-10-13,9.19,0.024686627893220514
2013-10-20,9.05,-0.017198242825220644
2013-10-27,8.81,-0.023698977846330016
2013-11-03,8.69,0.006924463355145738
2013-11-10,8.51,-0.03229194619616249
2013-11-17,8.61,0.018539869884247384
2013-11-24,8.83,0.02009074612440198
2013-12-01,8.89,0.01709034588538083
2013-12-08,8.98,0.005470810317907748
2013-12-15,8.77,-0.018614460705455804
2013-12-22,8.46,-0.05339521216102627
2013-12-29,8.57,0.011124006644028128
2014-01-05,8.49,-0.005512967781763023
2014-01-12,8.22,-0.03751038402220375
2014-01-19,8.17,-0.011956817036615996
2014-01-26,8.3,0.030842492591191872
2014-02-02,8.2,-0.019249420442289833
2014-02-09,8.21,0.004555381506958334
2014-02-16,8.47,0.037555994780524626
2014-02-23,8.42,-0.01362665127473528
2014-03-02,8.19,-0.03768194412916337
2014-03-09,8.14,-0.004870647658917759
2014-03-16,7.96,-0.02099376578959744
2014-03-23,8.12,0.016940545572055266
2014-03-30,8.13,-0.0031651872940404724
2014-04-06,8.21,0.015570420522638795
2014-04-13,8.53,0.038981968197258965
2014-04-20,8.36,-0.02034072822687283
2014-04-27,8.16,-0.0254679859868312
2014-05-04,7.96,-0.004228660418317709
2014-05-11,7.9,-0.011464524966657619
2014-05-18,7.96,0.005642690815127915
2014-05-25,7.99,0.0011472763603286307
2014-06-01,8.02,0.0037469500757303376
2014-06-08,7.98,-0.010085028083009928
2014-06-15,8.15,0.01945270471575622
2014-06-22,8.11,-0.018156528547836226
2014-06-29,8.1,0.006331640559004148
2014-07-06,8.18,0.013224924636950464
2014-07-13,8.06,-0.014084578153436222
2014-07-20,8.1,0.007511607260491049
2014-07-27,8.41,0.04450258393156803
2014-08-03,8.66,0.030501837241545537
2014-08-10,8.64,0.0007435384703886605
2014-08-17,8.72,0.012655214157573091
2014-08-24,8.68,0.0020032745426548093
2014-08-31,8.45,-0.011447286760092878
2014-09-07,8.8,0.04745867380693691
2014-09-14,8.75,-0.004450733875020929
2014-09-21,8.7,-0.005391743132058591
2014-09-28,8.71,0.0049438997266633145
2014-10-05,8.74,0.005656899041154073
2014-10-12,8.77,0.006446787989170311
2014-10-19,8.69,-0.010157739474272232
2014-10-26,8.53,-0.020897461310250165
2014-11-02,8.79,0.04919843761633569
2014-11-09,8.72,-0.0024606061814159697
2014-11-16,9.05,0.031548830147477114
2014-11-23,8.99,0.0009151161930236462
2014-11-30,9.83,0.08723356899965329
2014-12-07,11.1,0.11252629663926395
2014-12-14,10.98,0.021870244825009433
2014-12-21,11.96,0.05948214768320548
2014-12-28,12.28,0.018524654561835163
2015-01-04,12.74,0.025499160001381416
2015-01-11,12.95,0.00368395211258421
2015-01-18,13.39,0.024930901003546335
2015-01-25,13.14,-0.01744469135490001
2015-02-01,12.46,-0.038452493076188476
2015-02-08,11.89,-0.03551431258534976
2015-02-15,12.44,0.047520543892380696
2015-02-22,12.6,0.015128703785893816
2015-03-01,12.81,0.014343095264998329
2015-03-08,12.39,-0.026399984550118716
2015-03-15,12.91,0.039998907581385135
2015-03-22,13.75,0.07599310824658057
2015-03-29,14.2,0.020326652749568908
2015-04-05,14.75,0.050064493842304936
2015-04-12,15.44,0.04169198314462097
2015-04-19,16.5,0.05794104431988112
2015-04-26,16.57,0.023172725959370588
2015-05-03,16.58,0.010046482391490308
2015-05-10,15.77,-0.04031296751122038
2015-05-17,15.84,0.012957605337306832
2015-05-24,16.76,0.07230474697182654
2015-05-31,16.34,-0.022318425232790595
2015-06-07,17.71,0.08050749158873427
2015-06-14,18.26,0.019990815500926296
2015-06-21,16.26,-0.13084310272599564
2015-06-28,15.45,-0.06488109255621866
2015-07-05,14.31,-0.10384173220992121
2015-07-12,15.58,0.0567791334709411
2015-07-19,15.35,0.010943476723561218
2015-07-26,15.27,0.005969655276074182
2015-08-02,13.82,-0.08610056943034683
2015-08-09,14.0,0.023645039862981276
2015-08-16,14.47,0.042640733360720384
2015-08-23,12.79,-0.118816557588731
2015-08-30,11.78,-0.06888076899075546
2015-09-06,12.03,0.007044878864346238
2015-09-13,11.74,-0.005539195063805846
2015-09-20,11.47,-0.028655396709118097
2015-09-27,11.39,-0.005942902979848119
2015-10-04,11.22,-0.008973836546408043
2015-10-11,11.66,0.04282554696485863
2015-10-18,12.23,0.05806654619180862
2015-10-25,12.34,0.010519331138504784
2015-11-01,12.44,-0.010405906518210162
2015-11-08,13.1,0.07336989354227774
2015-11-15,12.96,-0.012424822862180052
2015-11-22,13.05,0.007511794486314338
2015-11-29,12.36,-0.05759643364226663
2015-12-06,12.78,0.03390505235884711
2015-12-13,12.48,-0.018907208847528167
2015-12-20,13.17,0.04430470787755936
2015-12-27,13.31,0.018654358526855486
2016-01-03,13.01,-0.0279287093093874
2016-01-10,11.91,-0.09901943310180517
2016-01-17,11.03,-0.07223812256381934
2016-01-24,11.03,-0.0016888284654329455
2016-01-31,10.47,-0.05375782528971762
2016-02-07,10.51,0.00600762366390728
2016-02-14,,0.0
2016-02-21,10.76,0.029622891508133797
2016-02-28,10.46,-0.033934496335511155
2016-03-06,11.05,0.049476752449346684
2016-03-13,10.81,-0.024437197185420145
2016-03-20,11.31,0.050916017180622886
2016-03-27,11.4,0.008150788644129658
2016-04-03,11.48,0.007529511538652889
2016-04-10,11.32,-0.011226002088832843
2016-04-17,11.66,0.027145774620918273
2016-04-24,11.34,-0.029736523231276846
2016-05-01,11.32,-0.005718603509211828
2016-05-08,11.2,-0.008360193807228744
2016-05-15,11.02,-0.01770374852173251
2016-05-22,11.03,0.0010676648449479131
2016-05-29,11.0,-0.005106525918567084
2016-06-05,11.41,0.041412911481766734
2016-06-12,11.36,-0.007945252382478452
2016-06-19,11.25,-0.01694982215471208
2016-06-26,11.15,-0.01067465888963881
